dataset,feature_set,balancing,classifier,fold,accuracy,precision,recall,f1,auc,mcc
ant-1.3,RISK_FEATURES,SMOTE,RF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9285714285714285,0.6998542122237652
ant-1.3,RISK_FEATURES,SMOTE,RF,2,0.84,0.5,0.25,0.3333333333333333,0.8214285714285714,0.27348301713730944
ant-1.3,RISK_FEATURES,SMOTE,RF,3,0.8,0.4,0.5,0.4444444444444444,0.7023809523809524,0.3273268353539886
ant-1.3,RISK_FEATURES,SMOTE,RF,4,0.68,0.3,0.75,0.42857142857142855,0.7916666666666667,0.31180478223116176
ant-1.3,RISK_FEATURES,SMOTE,RF,5,0.72,0.3333333333333333,0.75,0.46153846153846156,0.7916666666666667,0.3546040716334876
ant-1.3,RISK_FEATURES,SMOTE,ET,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9404761904761905,0.6998542122237652
ant-1.3,RISK_FEATURES,SMOTE,ET,2,0.84,0.5,0.25,0.3333333333333333,0.5595238095238095,0.27348301713730944
ant-1.3,RISK_FEATURES,SMOTE,ET,3,0.8,0.4,0.5,0.4444444444444444,0.7321428571428572,0.3273268353539886
ant-1.3,RISK_FEATURES,SMOTE,ET,4,0.68,0.3,0.75,0.42857142857142855,0.8095238095238095,0.31180478223116176
ant-1.3,RISK_FEATURES,SMOTE,ET,5,0.72,0.3333333333333333,0.75,0.46153846153846156,0.7916666666666667,0.3546040716334876
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.8928571428571428,0.6998542122237652
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,2,0.88,0.6,0.75,0.6666666666666666,0.8333333333333334,0.600099198148979
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,3,0.8,0.4,0.5,0.4444444444444444,0.6904761904761905,0.3273268353539886
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,4,0.68,0.3333333333333333,1.0,0.5,0.8154761904761905,0.45425676257949793
ant-1.3,RISK_FEATURES,SMOTE,SVM_RBF,5,0.68,0.3333333333333333,1.0,0.5,0.7916666666666666,0.45425676257949793
ant-1.3,RISK_FEATURES,SMOTE,GB,1,0.88,0.5714285714285714,1.0,0.7272727272727273,0.9404761904761905,0.6998542122237652
ant-1.3,RISK_FEATURES,SMOTE,GB,2,0.84,0.5,0.25,0.3333333333333333,0.7857142857142857,0.27348301713730944
ant-1.3,RISK_FEATURES,SMOTE,GB,3,0.8,0.4,0.5,0.4444444444444444,0.8095238095238095,0.3273268353539886
ant-1.3,RISK_FEATURES,SMOTE,GB,4,0.72,0.3333333333333333,0.75,0.46153846153846156,0.8035714285714285,0.3546040716334876
ant-1.3,RISK_FEATURES,SMOTE,GB,5,0.72,0.3333333333333333,0.75,0.46153846153846156,0.7916666666666666,0.3546040716334876
